bizNm,ctpvNm,sggNm,lctnRoadNmAddr,lctnLotnoAddr,lat,lot,bizBgngYm,bizEndYm,telno,bizDvlrNm,actcHhCnt,bzar,bizMthSeNm,dataCrtrYmd,insttCode,insttNm
가평 청평역세권2지구 도시개발사업,경기도,가평군,,경기도 가평군 청평면 청평리 134-58번지 일원,37.731969,127.425157,2022-07,2026-12,000-000-0000,채명숙,401,23469,수용,2025-12-24,4160000,경기도 가평군
가평 청평3지구 도시개발사업,경기도,가평군,경기도 가평군 청평면 골안길 12-10,경기도 가평군 청평면 청평리 산81-18번지 일원,37.745161,127.421628,2022-10,2027-06,000-000-0000,㈜케이아이청평피에프브이,551,29168,수용,2025-12-24,4160000,경기도 가평군
가평 청평2지구 도시개발사업,경기도,가평군,,경기도 가평군 청평면 청평리 산14-1번지 일원,37.731516,127.412916,2022-10,2026-12,000-000-0000,유종표,351,17400,수용,2025-12-24,4160000,경기도 가평군
가평 달전2지구 도시개발사업,경기도,가평군,,경기도 가평군 가평읍 달전리 산40번지 일원,37.811858,127.516605,2022-12,2026-12,000-000-0000,㈜사보이상사,499,28538,수용,2025-12-24,4160000,경기도 가평군
가평 대곡3지구 도시개발사업,경기도,가평군,,경기도 가평군 가평읍 대곡리 산24-6번지 일원,37.827050,127.503386,2023-06,2027-12,000-000-0000,케이비부동산신탁주식회사,499,29251,수용,2025-12-24,4160000,경기도 가평군
가평 신천4지구 도시개발사업,경기도,가평군,,경기도 가평군 설악면 신천리 산64번지 일원,37.670923,127.486192,2023-07,2027-12,000-000-0000,동광종합토건㈜,982,53788,수용,2025-12-24,4160000,경기도 가평군
가평 하색1지구 도시개발사업,경기도,가평군,,경기도 가평군 가평읍 하색리 25번지 일원,37.816258,127.505579,2023-09,2027-12,000-000-0000,㈜청연도시개발,545,29983,수용,2025-12-24,4160000,경기도 가평군
가평 하색2지구 도시개발사업,경기도,가평군,,경기도 가평군 가평읍 하색리 45번지 일원,37.815091,127.503871,2023-09,2027-12,000-000-0000,하색도시개발㈜,554,29984,수용,2025-12-24,4160000,경기도 가평군
가평 달전4지구 도시개발사업,경기도,가평군,,경기도 가평군 가평읍 달전리 494번지 일원,37.809733,127.514541,2024-08,2028-12,000-000-0000,㈜무궁화신탁,492,26518,수용,2025-12-24,4160000,경기도 가평군
차암구역 도시개발사업,충청남도,천안시 서북구,,충청남도 천안시 서북구 차암동 28-5,36.851990,127.1117097,2024-12,2027-12,02-830-7222,신한자산신탁,3996,371445,수용,2026-01-22,4490000,충청남도 천안시
무계지구 도시개발사업,경상남도,김해시,경상남도 김해시 무계로 56(무계동),경상남도 김해시 무계동 79-1 번지,35.20099858,128.8193119,2004-12,2026-12,055-314-4256,장유무계지구 도시개발사업조합,850,80427,환지,2026-01-29,5350000,경상남도 김해시
진례시례지구 도시개발사업,경상남도,김해시,,경상남도 김해시 진례면 시례리 57번지,35.26056658,128.7344826,2008-05,2026-12,055-338-3834,㈜록인김해레스포타운,6300,997352.8,,2026-01-29,5350000,경상남도 김해시
내덕지구 도시개발사업,경상남도,김해시,,경상남도 김해시 내덕동 28-4번지,35.20987443,128.8181996,2013-03,2025-05,055-313-8980,내덕지구 도시개발사업조합,2986,540931.5,환지,2026-01-29,5350000,경상남도 김해시
삼계나전지구 도시개발사업,경상남도,김해시,,경상남도 김해시 생림면 나전리 산162-1번지,35.2921672,128.8667321,2016-10,2026-12,055-330-1422,티케이지태광㈜,2916,254090,수용+환지,2026-01-29,5350000,경상남도 김해시
장유배후 주거복합단지 도시개발사업,경상남도,김해시,,경상남도 김해시 장유동 180번지,35.16490785,128.8346529,2018-01,2026-12,055-320-0462,김해시도시개발공사,180,84738,수용,2026-01-29,5350000,경상남도 김해시
안동1지구 도시개발사업,경상남도,김해시,경상남도 김해시 안동길 11 (안동),경상남도 김해시 안동 360-32,35.23787544,128.9113131,2018-06,2026-12,051-314-4027,㈜성은개발,2780,136720,,2026-01-29,5350000,경상남도 김해시
신문지구 도시개발사업,경상남도,김해시,,경상남도 김해시 신문동 26-8번지,35.18941167,128.8328395,2020-04,2026-12,055-313-0083,장유신문지구 도시개발사업조합,2966,556561,환지,2026-01-29,5350000,경상남도 김해시
신문1지구 도시개발사업,경상남도,김해시,,경상남도 김해시 신문동 374번지,35.19536606,128.8202282,2021-08,2026-12,055-314-3232,신문1지구 도시개발사업조합,2902,619953,환지,2026-01-29,5350000,경상남도 김해시
내동경운지구 도시개발사업,경상남도,김해시,경상남도 김해시 분성로3번길 235-34,경상남도 김해시 내동 243-1,35.24774967,128.8625114,2020-05,2028-12,055-334-3001,㈜한일자동차학원 대표 김덕복,397,28334,,2026-01-29,5350000,경상남도 김해시
부원스마트홈 도시개발사업,경상남도,김해시,,경상남도 김해시 부원동 564-1번지,35.22649958,128.889200,2021-08,2026-12,02-2008-9114,HDC현대산업개발㈜,705,30867,,2026-01-29,5350000,경상남도 김해시
용두지구 도시개발사업,경상남도,김해시,,경상남도 김해시 내덕동 산 64번지,35.20176233,128.8260691,2024-03,2028-12,055-269-0445,경남개발공사+김해시도시개발공사,3793,469483,,2026-01-29,5350000,경상남도 김해시
율하구관동지구 도시개발사업,경상남도,김해시,경상남도 김해시 율하로 316-17 (율하동),경상남도 김해시 율하동 455 번지,35.16814641,128.8105346,2024-08,2029-12,055-269-0444,경남개발공사+김해시도시개발공사,3146,272027,,2026-01-29,5350000,경상남도 김해시
장성지구,충청북도,청주시,,충청북도 청주시 서원구 장성동 143,36.59491069,127.4803081,2023-06,,070-4610-5154,(유)서빈산업개발,,,수용,2025-12-24,5710000,충청북도 청주시
오송역세권지구,충청북도,청주시,,충청북도 청주시 흥덕구 오송읍 오송리 108-5,36.616737,127.3269181,2015-08,,043-230-7801,오송역세권지구도시개발사업조합,,,환지,2025-12-24,5710000,충청북도 청주시
개신2지구,충청북도,청주시,,충청북도 청주시 서원구 개신동 68-1,36.6210545,127.4591262,2020-03,,043-236-8078,개신2지구도시개발사업조합,,,환지,2025-12-24,5710000,충청북도 청주시
강서2지구,충청북도,청주시,,충청북도 청주시 흥덕구 강서동 40-1,36.6255351,127.4233631,2020-05,,043-238-8433,강서2지구지역주택조합,,,수용,2025-12-24,5710000,충청북도 청주시
비하지구,충청북도,청주시,,충청북도 청주시 흥덕구 비하동 422,36.63560936,127.4201326,2009-01,,043-222-7733,청주비하지구도시개발사업조합,,,환지,2025-12-24,5710000,충청북도 청주시
송절1지구,충청북도,청주시,,충청북도 청주시 흥덕구 송절동 151-8,36.6634112,127.4601821,2024-04,,043-285-8587,주식회사 엘리건스,,,수용,2025-12-24,5710000,충청북도 청주시
송절4지구,충청북도,청주시,,충청북도 청주시 흥덕구 송절동 89,36.65974475,127.4627967,2024-12,,044-864-2050,혜움건설 주식회사,,,,2025-12-24,5710000,충청북도 청주시
밀레니엄타운,충청북도,청주시,,충청북도 청주시 청원구 주중동 511-1,36.68375288,127.4797495,2016-12,,043-710-9614,충청북도충북개발공사,,,수용,2025-12-24,5710000,충청북도 청주시
가경서부지구,충청북도,청주시,,충청북도 청주시 흥덕구 강서동 260,36.6126901,127.4242085,2019-04,2025-11,02-2008-9550,HDC현대산업개발㈜,,,수용,2025-12-24,5710000,충청북도 청주시
가경홍골2지구,충청북도,청주시,,충청북도 청주시 흥덕구 가경동 330,36.6153501,127.436406,2021-06,,02-2008-9550,HDC현대산업개발㈜,,,수용,2025-12-24,5710000,충청북도 청주시
가경홍골3지구,충청북도,청주시,,충청북도 청주시 흥덕구 가경동 301,36.61213657,127.4343072,2024-03,,02-2008-9114,HDC현대산업개발㈜,,,수용,2025-12-24,5710000,충청북도 청주시
가경서부2지구,충청북도,청주시,,충청북도 청주시 흥덕구 가경동 701,36.6110425,127.4277029,2024-03,,02-2008-9114,HDC현대산업개발㈜,,,수용,2025-12-24,5710000,충청북도 청주시
분평미평지구,충청북도,청주시,,충청북도 청주시 서원구 분평동 213,36.60583424,127.4846421,2024-05,,043-291-1031,㈜청주글로벌,,,수용,2025-12-24,5710000,충청북도 청주시
옥산오산지구,충청북도,청주시,,충청북도 청주시 흥덕구 옥산면 오산리 350-1,36.6626385,127.3678317,2024-05,,043-260-2500,리산건설㈜,,,수용,2025-12-24,5710000,충청북도 청주시
송절2지구,충청북도,청주시,,충청북도 청주시 흥덕구 송절동 65,36.664457,127.463161,2025-05,,02-528-0475,대한토지신탁㈜,,,수용,2025-12-24,5710000,충청북도 청주시
경서3구역 도시개발사업,인천광역시,서구,,인천광역시 서구 경서동 124-90,37.54866645,126.6512387,2010-08,,032-560-4785,인천광역시 서구청,,3680952,환지,2026-01-15,3561000,인천광역시 서해구
거제 수양지구 도시개발사업,경상남도,거제시,,경상남도 거제시 양정동 543,34.888856,128.6514989016,2018-12,,055-634-3366,거제 수양지구 도시개발사업조합,1190,213160,환지,2026-03-13,5370000,경상남도 거제시
거제 아주(내곡)지구 도시개발사업,경상남도,거제시,,경상남도 거제시 아주동 산127,34.8640561777,128.682580,2019-12,,055-682-2644,디앤피코리아㈜,1220,92778,수용,2026-03-13,5370000,경상남도 거제시
거제 상동2지구 도시개발사업,경상남도,거제시,,경상남도 거제시 상동동 681-2,34.870752583,128.6295248501,2009-12,,055-632-3381,거제 상동2지구 도시개발사업조합,1327,105283,환지,2026-03-13,5370000,경상남도 거제시
거제 장평5지구 도시개발사업,경상남도,거제시,,경상남도 거제시 장평동 산70-3,34.8915353143,128.5975166676,2014-12,,055-635-5700,거제 장평5지구 도시개발사업조합,1124,96393,환지,2026-03-13,5370000,경상남도 거제시
남리지구 도시개발사업,대구광역시,달성군,대구광역시 달성군 논공읍 남리길 1,대구광역시 달성군 논공읍 남리 176-3번지,35.726747,128.435307,2022-10,,053-000-0000,남리지구도시개발사업조합,2600,271530,환지,2026-06-24,3480000,대구광역시 달성군
석수골 역세권 도시개발구역,경기도,안산시,,경기도 안산시 단원구 선부동 산73-1번지 일원,37.34875849,126.8079095,2014-10,2021-05,031-5183-3530,이레일주식회사,2040,73249,수용,2026-05-11,3930000,경기도 안산시
대부남동 흥성지구 도시개발구역,경기도,안산시,,경기도 안산시 단원구 대부남동 1085-12번지 일원,37.22962665,126.5692023,2025-12,2030-12,032-884-1004,㈜더헤븐리조트,1633,207876,수용,2026-05-11,3930000,경기도 안산시
송절3지구,충청북도,청주시,,충청북도 청주시 흥덕구 송절동 산89-1,36.660678,127.458724,2024-12,,043-229-2316,㈜창조종합건설,,,수용,2025-12-24,5710000,충청북도 청주시
미평지구,충청북도,청주시,,충청북도 청주시 서원구 미평동 273-1,36.604779,127.461580,2025-05,,043-286-7402,청주미평지구도시개발사업추진위원회,,,,2025-12-24,5710000,충청북도 청주시
새터지구,충청북도,청주시,,충청북도 청주시 청원구 사천동 225-45,36.669024,127.475445,2025-10,,054-858-7028,㈜세영산업,,,수용,2025-12-24,5710000,충청북도 청주시
효성구역 도시개발사업,인천광역시,계양구,,인천광역시 계양구 효성동 100번지 일원,37.533329,126.706483,2014-02,,032-541-8388,㈜JK도시개발,3998,434922,수용,2025-12-06,3550000,인천광역시 계양구
귤현구역 도시개발사업,인천광역시,계양구,,인천광역시 계양구 귤현동 306번지 일원,37.566413,126.746745,2008-11,2024-04,032-508-7265,귤현구역 도시개발사업조합,1533,182176.3,환지,2025-12-06,3550000,인천광역시 계양구
광주효천1 도시개발사업,광주광역시,남구,광주광역시 남구 효천3로 38,광주광역시 남구 임암동 985,35.1054335,126.8669810,2005-12,2023-03,062-613-1784,한국토지주택공사,,,,2025-12-18,6290000,광주광역시
용산구역 도시개발사업,광주광역시,동구,광주광역시 동구 용산3길 17,,35.1190837,126.9257566,2006-12,2025-12,062-608-4824,한국토지주택공사,,,,2025-12-18,6290000,광주광역시
선교구역 도시개발사업,광주광역시,동구,광주광역시 동구 선교로 38-33,,35.0901282,126.9544616,2017-10,2026-12,062-608-4824,광주광역시 동구청,,,,2025-12-18,6290000,광주광역시
광주 생태문화마을 도시개발사업,광주광역시,북구,,광주광역시 북구 충효동 882,35.1818501,127.0005114,2020-06,2026-12,062-613-4232,광주광역시,,,,2025-12-18,6290000,광주광역시
풍암동 연립주택 구역,광주광역시,서구,,광주광역시 서구 풍암동 산131-2,35.1148128,126.8665502,2011-06,2026-12,062-360-7464,㈜신우주택,,,,2025-12-18,6290000,광주광역시
매월 연립주택 단지,광주광역시,서구,,광주광역시 서구 매월동 산41-3,35.1220824,126.8543579,2021-06,2026-12,062-360-7464,㈜파인이앤씨,,,,2025-12-18,6290000,광주광역시
세하동 연립주택 도시개발사업,광주광역시,서구,,광주광역시 서구 세하동 산9-17,35.1251126,126.8427121,2024-09,2026-12,062-360-7464,유한회사 토르시디,,,,2025-12-18,6290000,광주광역시
양주 가석지구 도시개발사업,경기도,양주시,경기도 양주시 광적면 지섬로198번길 21,경기도 양주시 광적면 가납리 904,37.819764,126.9817826,2025-11,2025-09,031-000-0000,양주 가석지구 도시개발조합,880,185349.6,환지,2025-12-18,5590000,경기도 양주시
양주역세권 개발사업,경기도,양주시,경기도 양주시 평화로 919,경기도 양주시 남방동 52,37.7736548,127.044733,2025-03,,031-841-4143,양주역세권개발피에프브이㈜,3822,646680,수용,2025-12-18,5590000,경기도 양주시
양주 샘내 도시개발사업,경기도,양주시,경기도 양주시 평화로1261번길 18,경기도 양주시 산북동 306-1,37.80406457,127.0446603,2025-06,,070-4770-1166,양주포레스트개발㈜,657,39247,수용,2025-12-18,5590000,경기도 양주시
태평지구,경기도,여주시,,경기도 여주시 가남읍 태평리 785-1,37.20358325,127.5419585,2025-06,2025-01,031-887-3016,여주시,463,,환지,2025-12-22,5700000,경기도 여주시
창동지구,경기도,여주시,,경기도 여주시 창동 175,37.2912151,127.6325399,2025-10,,031-887-3016,여주시,522,,환지,2025-12-22,5700000,경기도 여주시
전천지구,경기도,여주시,,경기도 여주시 가남읍 건장리 149-1,37.20104568,127.5470757,2025-07,,031-887-3016,여주시,25,,환지,2025-12-22,5700000,경기도 여주시
여주역세권,경기도,여주시,,경기도 여주시 교동 654-18,37.28086289,127.6284841,2025-04,2025-04,031-887-3022,여주시,2364,,환지,2025-12-22,5700000,경기도 여주시
능서역세권,경기도,여주시,,경기도 여주시 세종대왕면 신지리 342,37.29648666,127.5769958,2025-02,,031-887-3023,여주시,947,,환지,2025-12-22,5700000,경기도 여주시
현암지구,경기도,여주시,,경기도 여주시 현암동 281­1,37.31182942,127.6350666,2025-04,2025-12,032-426-2201,케이엘개발+대영하우징건설,544,,수용,2025-12-22,5700000,경기도 여주시
교동지구,경기도,여주시,,경기도 여주시 교동 531,37.27789844,127.634510,2025-04,2025-12,031-884-4578,여주교동도시개발사업조합,573,,환지,2025-12-22,5700000,경기도 여주시
교동1지구,경기도,여주시,,경기도 여주시 교동 2­1,37.27685926,127.6406502,2025-07,,031-881-6215,여주교동1지구도시개발사업조합,713,,환지,2025-12-22,5700000,경기도 여주시
교동2지구,경기도,여주시,,경기도 여주시 교동 산9-12,37.27657877,127.6343644,2025-07,2025-04,031-886-8545,여주교동2지구도시개발사업조합,623,,환지,2025-12-22,5700000,경기도 여주시
교동3지구,경기도,여주시,,경기도 여주시 교동 299-7,37.28731352,127.6253558,2025-12,,031-884-3633,교동3지구(향교마을) 도시개발사업조합,411,,환지,2025-12-22,5700000,경기도 여주시
월송지구,경기도,여주시,,경기도 여주시 월송동 53-4,37.29077977,127.6241269,2025-10,,000-0000-0000,월송도시개발사업조합,508,,환지,2025-12-22,5700000,경기도 여주시
세종지구,경기도,여주시,,경기도 여주시 교동 500-105,37.27613754,127.626867,2025-04,,031-881-0125,여주세종지구 도시개발사업조합,773,,환지,2025-12-22,5700000,경기도 여주시
홍문1지구,경기도,여주시,,경기도 여주시 홍문동 336-1,37.28697717,127.6391975,2025-12,,062-719-3144,세종아이앤디,756,,수용,2025-12-22,5700000,경기도 여주시
홍문2지구,경기도,여주시,,경기도 여주시 홍문동 산12-1,37.28531281,127.6402456,2025-09,,02-6190-3878,한국투자부동산신탁주식회사,740,,수용,2025-12-22,5700000,경기도 여주시
