역명,위도,경도,주소,역등급,정차횟수,본부,출입구 개수,관련노선
진영역,35.303802,128.730003,경상남도 김해시 진영읍 김해대로 809 ,3.0,44.0,,,"경전선(고속),경전선"
진주,35.15,128.11,,,,부산경남,1.0,
진주역,35.183267,128.087144,경상남도 진주시 개양로 116번길 33,2.0,12.0,,,"경전선(고속),경전선"
창원,35.15,128.36,,,,부산경남,1.0,
창원역,35.258459,128.60721,경상남도 창원시 의창구 의창대로 67 ,2.0,46.0,,,"경전선(고속),경전선"
창원중앙,35.14,128.42,,,,부산경남,1.0,
창원중앙역,35.2422624,128.7014842,경상남도 창원시 의창구 상남로 381,3.0,56.0,,,"경전선(고속),경전선"
천안,36.808837,127.1471716,,,,대전충청,2.0,
천안아산,36.79391,127.10445,,,,대전충청,3.0,
천안아산역,36.794613,127.104529,충청남도 아산시 배방읍 희망로 100 ,1.0,,,,"경부선(고속),경전선(고속),동해선(고속),호남선(고속),전라선(고속)"
천안역,36.809452,127.147055,충청남도 천안시 동남구 대흥로 239 ,1.0,190.0,,,"경부선,호남선,전라선,장항선"
철암역,37.579983,127.047679,강원도 태백시 동태백로 389,1.0,72.0,,,영동선
청도,35.640129,128.746482,,,,대구경북,1.0,
청도역,35.6396751,128.7462136,경상북도 청도군 청도읍 청화로 214,3.0,71.0,,,"경부선,경전선"
청량리,37.580543,127.047259,,,,서울본부,3.0,
청량리역,37.11298,129.036482,서울특별시 동대문구 왕산로 214,2.0,10.0,,,"강릉선(고속),중앙선(고속),중앙선"
청리,36.339231,128.12898,,,,대구경북,1.0,
청리역,36.338832,128.128361,경상북도 상주시 청리면 청리중앙로 135-5,3.0,6.0,,,경북선
청소,36.446092,126.590837,,,,대전충청,1.0,
청소역,36.445658,126.590964,충청남도 보령시 청소면 청소큰길 176,3.0,8.0,,,장항선
청주공항,36.7215792,127.489552,,,,대전충청,0.0,
청주공항역,36.721644,127.489648,충청북도 청주시 청원구 오창대로 980,0.0,18.0,,,충북선
청주역,36.647096,127.39233,충청북도 청주시 흥덕구 청주역로 363,2.0,18.0,,,충북선
추풍령,36.22467,127.9111,,,,대전충청,1.0,
추풍령역,36.2132,127.995682,충청북도 영동군 추풍령면 추풍령로 444,3.0,14.0,,,경부선
춘양,36.9377907,128.9198732,,,,대구경북,2.0,
춘양역,36.9372273,128.9198593,경상북도 봉화군 춘양면 운곡길 22-2 ,3.0,10.0,,,영동선
충주,36.9760489,127.9091488,,,,대전충청,1.0,
충주역,36.975797,127.90958,충청북도 충주시 충원대로 539,3.0,18.0,,,충북선
탑리,36.2,128.6,,,,대구경북,1.0,
탑리역,36.2596607,128.6828609,경상북도 의성군 금성면 탑리5길 31,3.0,6.0,,,중앙선
태백,37.1709476,129.0185257,,,,강원본부,1.0,
태백역,37.176869,128.98347,강원도 태백시 서황지로 79,2.0,14.0,,,태백선
태화강,35.5385136,129.3532654,,,,부산경남,1.0,
태화강역,35.5397714,129.3538491,울산광역시 남구 산업로 654 ,2.0,41.0,,,"중앙선,동해남부선"
판교,36.155541,126.679461,,,,대전충청,1.0,
판교역,36.1556176,126.6793422,충청남도 서천군 판교면 저산길 8번,3.0,182.0,,,장항선
평창,37.5620242,128.4292237,,,,강원본부,2.0,
평창역,0.0,0.0,강원도 평창군 용평면 평창대로 1715,0.0,,,,강릉선(고속)
평택,36.995815,127.082538,,,,수도권광역,2.0,
평택역,36.990316,127.085794,경기도 평택시 평택로 51,3.0,159.0,,,"경부선,호남선,전라선,장항선"
포항,36.071865,129.341983,,,,대구경북,1.0,
포항역,36.03619,129.359715,경상북도 포항시 북구 흥해읍 포항역로 1,2.0,28.0,,,"동해선(고속),대구선,동해남부선,동해선"
풍기,36.888086,128.539104,,,,대구경북,1.0,
풍기역,36.873337,128.522421,경상북도 영주시 풍기읍 인삼로 1,3.0,16.0,,,"중앙선(고속),중앙선,충북선"
하동,35.06,127.76,,,,부산경남,1.0,
하동역,35.0702,127.75986,경상남도 하동군 하동읍 너뱅이길 30 ,3.0,12.0,,,경전선
하양,35.910027,128.818195,,,,대구경북,1.0,
하양역,35.909377,128.818018,경상북도 경산시 하양읍 하양역길 1,3.0,46.0,,,"중앙선,대구선,동해남부선"
한림정,35.32155556,128.8035306,,,,부산경남,1.0,
한림정역,35.3223909,128.8034871,경상남도 김해시 한림면 한림로372번길 20,3.0,14.0,,,경전선
함안,35.14,128.25,,,,부산경남,4.0,
함안역,35.277177,128.410183,경상남도 함안군 함안면 진함로 1637,3.0,12.0,,,경전선
함열,36.0803608,126.9572848,,,,전북,1.0,
함열역,36.080321,126.956892,전라북도 익산시 함열읍 함열로 71,3.0,36.0,,,"호남선,전라선"
함창,36.5955439,128.2032974,,,,대구경북,1.0,
함창역,36.569871,128.174674,경상북도 상주시 함창읍 가야로 3,0.0,6.0,,,경북선
함평,35.02,126.54,,,,광주전남,1.0,
함평역,35.0239174,126.5388286,전남 함평군 학교면 영산로 3530,3.0,28.0,,,호남선
행신,37.3645,126.4952,,,,서울본부,2.0,
행신역,37.615263,126.843493,경기도 고양시 덕양구 소원로 102,3.0,16.0,,,"경부선(고속),경전선(고속),동해선(고속),호남선(고속),전라선(고속)"
현동,36.936726,129.0120158,,,,대구경북,1.0,
현동역,36.937118,129.012065,경상북도 봉화군 소천면 열람이길 55,3.0,6.0,,,영동선
호계역,35.622116,129.354023,울산광역시 북구 호계6길 30,3.0,35.0,,,"중앙선,동해남부선"
홍성,36.58349444,126.6811111,,,,대전충청,1.0,
홍성역,36.599343,126.680419,충청남도 홍성군 홍성읍 조양로 272,2.0,32.0,,,장항선
화명,35.234472,129.0075808,,,,부산경남,1.0,
화명역,35.2341753,129.0071425,부산광역시 북구 학사로 135,3.0,23.0,,,"경부선,경전선"
화본,36.12704167,128.6944111,,,,대구경북,1.0,
화본역,36.127132,128.694556,경상북도 군위군 산성면 산성가음로 711-9,3.0,4.0,,,중앙선
화순,35.05,126.96,,,,광주전남,1.0,
화순역,35.032908,126.933214,전라남도 화순군 화순읍 오성로 488-5,3.0,10.0,,,경전선
황간,36.22465,127.9112,,,,대전충청,1.0,
황간역,36.224254,127.912099,충청북도 영동군 황간면 하옥포2길 14,3.0,15.0,,,경부선
횡성,37.4836479,128.0104433,,,,강원본부,1.0,
횡성역,0.0,0.0,강원도 횡성군 횡성읍 덕고로 591,0.0,,,,강릉선(고속)
횡천,35.05,127.48,,,,부산경남,1.0,
횡천역,35.1031549,127.808659,경상남도 하동군 횡천면 경서대로 998-12 ,0.0,10.0,,,경전선
효천,35.1,126.88,,,,광주전남,1.0,
효천역,35.1028841,126.8775723,광주광역시 남구 효천길 5,3.0,10.0,,,경전선
